100
340,194,110,319,21,136,249,224,452,9,244,93,64,59,102,239,35,334,320,219,220,364,78,87,279,
132,474,33,179,68,359,176,304,161,160,311,287,407,88,276,265,466,103,154,181,111,85,91,92,186,
43,483,173,46,272,263,254,482,285,277,84,238,461,447,19,336,492,98,45,210,24,354,27,212,137,
381,362,266,89,392,417,66,400,261,134,484,487,26,283,250,384,373,28,426,433,167,479,470,260,256,
237,67,48,301,365,497,118,56,493,106,366,223,291,129,242,230,188,218,403,348,75,165,255,468,494,
495,95,191,421,131,420,30,99,114,344,112,231,1,13,296,329,438,32,187,86,183,357,345,352,355,
37,12,353,328,240,262,490,124,206,413,372,228,284,455,453,0,202,332,330,485,190,149,393,281,94,
143,169,208,53,297,416,326,222,427,234,130,268,253,349,306,199,157,294,488,406,459,270,57,370,351,
441,309,120,389,446,464,308,323,61,163,204,236,174,16,408,273,247,388,31,126,289,375,180,278,442,
81,264,402,201,412,74,121,241,280,178,419,465,496,391,321,385,155,41,122,368,34,498,303,302,409,
77,469,243,116,71,182,52,358,380,448,97,144,252,60,267,139,356,454,444,51,18,205,246,374,159,
73,83,251,105,382,115,55,213,432,269,491,177,439,133,298,379,214,248,360,290,226,293,101,8,367,
398,7,371,153,49,350,387,449,462,347,467,489,209,307,316,40,325,428,50,295,203,184,125,477,140,
211,475,150,39,424,142,164,127,343,259,431,258,430,117,10,437,175,65,227,195,396,397,196,450,109,
90,215,146,11,405,47,435,245,14,339,486,42,200,22,422,478,62,54,189,282,72,80,456,63,17,
401,152,145,337,168,472,458,310,300,499,411,3,207,257,480,327,135,82,363,335,473,377,314,271,158,
395,315,376,390,404,451,197,299,171,333,312,217,317,275,29,107,69,151,198,423,322,232,38,162,156,
108,418,70,221,378,394,425,141,104,123,445,229,324,318,288,292,338,44,331,20,410,119,436,440,386,
414,148,2,170,76,147,113,415,58,460,313,100,128,233,429,369,463,23,235,399,471,476,138,361,443,
166,457,79,274,193,286,36,172,6,216,305,96,4,225,192,5,434,15,341,342,383,25,185,481,346,
